stn_id,wmo_index,calendar_cnt,tmd_cnt,tmd_rain_sum,tmd_rain_sum_adjust,stn_name,province,lon,lat,dt,year,month,day
415301,48415,31,31,23,23,¾ÃÐ¹¤ÃÈÃÕÍÂØ¸ÂÒ,¾ÃÐ¹¤ÃÈÃÕÍÂØ¸ÂÒ,100.725,14.5347222222,2018-01-31,2018,01,31
432401,48416,31,31,2,2,·èÒµÙÁ,ÊØÃÔ¹·Ãì,103.683333333,15.3166666667,2018-01-31,2018,01,31
419301,48419,31,31,60,60,»·ØÁ¸Ò¹Õ Ê¡É.,»·ØÁ¸Ò¹Õ,100.616666667,14.1,2018-01-31,2018,01,31
429301,48420,31,31,96,96,ÊÁØ·Ã»ÃÒ¡ÒÃ Ê¡É.,ÊÁØ·Ã»ÃÒ¡ÒÃ,100.761666667,13.5166666667,2018-01-31,2018,01,31
450401,48421,31,31,14,14,·Í§¼ÒÀÙÁÔ,¡Ò­¨¹ºØÃÕ,98.6363888889,14.7422222222,2018-01-31,2018,01,31
425201,48425,31,31,0,0,ÊØ¾ÃÃ³ºØÃÕ,ÊØ¾ÃÃ³ºØÃÕ,100.138888889,14.4744444444,2018-01-31,2018,01,31
426201,48426,31,31,46,46,Å¾ºØÃÕ,Å¾ºØÃÕ,100.645,14.7997222222,2018-01-31,2018,01,31
425301,48427,31,30,0,1,ÍÙè·Í§ Ê¡É.,ÊØ¾ÃÃ³ºØÃÕ,99.8647222222,14.3036111111,2018-01-31,2018,01,31
429601,48429,31,31,76,76,Ê¹ÒÁºÔ¹ÊØÇÃÃ³ÀÙÁÔ,ÊÁØ·Ã»ÃÒ¡ÒÃ,100.7675,13.6863888889,2018-01-31,2018,01,31
430201,48430,31,31,103,103,»ÃÒ¨Õ¹ºØÃÕ,»ÃÒ¨Õ¹ºØÃÕ,101.369305556,14.0584166667,2018-01-31,2018,01,31
431201,48431,31,31,3,3,¹¤ÃÃÒªÊÕÁÒ,¹¤ÃÃÒªÊÕÁÒ,102.086027778,14.9683055556,2018-01-31,2018,01,31
432201,48432,31,31,17,17,ÊØÃÔ¹·Ãì,ÊØÃÔ¹·Ãì,103.5,14.8833333333,2018-01-31,2018,01,31
432301,48433,31,31,14,14,ÊØÃÔ¹·Ãì Ê¡É.,ÊØÃÔ¹·Ãì,103.45,14.8833333333,2018-01-31,2018,01,31
431401,48434,31,31,1,1,âª¤ªÑÂ,¹¤ÃÃÒªÊÕÁÒ,102.168611111,14.7188888889,2018-01-31,2018,01,31
431301,48435,31,31,55,55,»Ò¡ªèÍ§ Ê¡É.,¹¤ÃÃÒªÊÕÁÒ,101.331944444,14.6438888889,2018-01-31,2018,01,31
436401,48436,31,31,4,4,¹Ò§ÃÍ§,ºØÃÕÃÑÁÂì,102.8,14.5833333333,2018-01-31,2018,01,31
436201,48437,31,31,0,0,ºØÃÕÃÑÁÂì,ºØÃÕÃÑÁÂì,103.248083333,15.22575,2018-01-31,2018,01,31
430401,48439,31,31,174,174,¡ºÔ¹·ÃìºØÃÕ,»ÃÒ¨Õ¹ºØÃÕ,101.707222222,13.9833333333,2018-01-31,2018,01,31
440401,48440,31,31,104,104,ÊÃÐá¡éÇ,ÊÃÐá¡éÇ,102.034722222,13.7888888889,2018-01-31,2018,01,31
450201,48450,31,31,0,0,¡Ò­¨¹ºØÃÕ,¡Ò­¨¹ºØÃÕ,99.5358333333,14.0225,2018-01-31,2018,01,31
451301,48451,31,31,7,7,¹¤Ã»°Á,¹¤Ã»°Á,99.97,14.0116666667,2018-01-31,2018,01,31
455301,48453,31,31,258,258,¡ÃØ§à·¾Ï ºÒ§¹Ò Ê¡É.,¡ÃØ§à·¾ÁËÒ¹¤Ã,100.606111111,13.6663888889,2018-01-31,2018,01,31
